word,count
nutrition,845
jars,845
double,845
ice,844
stash,844
vitamins,843
air,842
obviously,841
fructose,840
fiber,840
packed,838
literally,838
40,838
canidae,836
bunch,836
mention,834
roasted,833
safe,832
bones,832
fast,831
pot,831
snacks,830
sad,830
replacement,828
higher,825
gas,824
hazelnut,824
process,824
instructions,823
agree,823
chance,823
contacted,823
suggest,819
ship,818
maker,816
earth,815
heard,813
lower,812
blood,812
break,811
possible,810
chemicals,807
amazing,804
crazy,803
switched,802
hour,801
rich,801
nutritional,799
oatmeal,798
checked,798
newman,797
switch,796
edible,794
bacon,794
fda,793
melted,792
states,791
set,790
somewhat,789
misleading,788
general,788
spices,787
near,787
usa,785
companies,784
almond,784
processed,783
tuna,782
coming,781
world,781
almonds,781
supermarket,780
kitchen,780
mild,779
bulk,779
damaged,777
garlic,777
stated,776
vendor,775
christmas,774
shop,773
nut,773
honestly,773
delivery,772
paying,772
form,771
knew,769
test,767
contact,764
fake,763
costs,760
customers,754
wasted,753
splenda,753
plant,752
raspberry,751
bits,750
advertised,749
apparently,749
18,748
pets,748
contents,748
cherry,747
peanuts,746
animal,746
daily,746
turkey,746
rate,744
cases,742
gotten,742
kept,742
mentioned,742
began,741
aware,740
realized,739
previous,739
funny,738
risk,738
floor,738
forward,737
picky,734
filled,733
heavy,733
flat,732
sip,730
glad,730
heat,721
buyer,720
expired,720
cold,720
luck,718
search,718
sadly,715
spend,715
fair,715
likely,714
skin,710
odor,706
despite,706
thanks,704
lb,704
rip,702
source,701
email,701
future,699
takes,698
crap,697
liver,697
chews,694
dinner,693
2012,693
quick,692
hopes,690
remember,689
working,689
hold,688
sweeteners,688
spent,688
sweetness,685
warning,685
bother,684
discovered,683
worked,681
cook,680
lack,680
middle,678
chunks,678
jelly,678
junk,677
lime,675
strawberry,673
negative,672
thank,670
seasoning,669
sticky,669
pod,667
2011,665
trust,665
main,664
response,663
human,663
drank,663
subscribe,662
feeling,661
write,660
word,660
sample,659
zico,658
picked,657
caused,657
smooth,653
fit,653
weren,651
mother,650
substitute,650
chili,650
mango,649
granola,649
apart,649
pleasant,648
mold,648
healthier,647
baking,645
pass,645
careful,644
oils,643
carb,641
priced,641
usual,641
continue,641
